Ilya Kibardin,196,847129,/ikibardin,grandmaster,27698.0,2016-12-25T16:21:19.917Z,5,7,1
sakami,197,2133818,/sakami,master,27620.0,2018-08-07T16:48:58.67Z,2,2,0
Mikhail Druzhinin,198,1712591,/dipetm,expert,27611.0,2018-03-11T21:04:44.827Z,1,1,0
x0x0w1,199,629296,/x0x0w1,master,27509.0,2016-05-31T15:04:06.307Z,2,17,3
tascj,200,381412,/tascj0,master,27484.0,2015-07-10T10:48:36.777Z,1,5,1
CatEek,201,1489375,/cateek,master,27382.0,2017-12-11T21:48:45.16Z,2,2,3
Eduardo Rocha de Andrade,202,1648129,/arc144,master,26956.0,2018-02-18T23:14:28.597Z,3,8,0
Vladimir Larin,203,296134,/vlarine,master,26868.0,2015-02-18T13:30:36.08Z,2,10,19
Jie Wu,204,530572,/lftuwujie,master,26783.0,2016-02-16T11:18:06.993Z,3,10,6
ivovkanych,205,489468,/ivovkanych,master,26696.0,2015-12-17T17:42:49.097Z,3,0,0
hoxosh,206,33644,/cashfeg,master,26687.0,2012-03-02T08:43:56.22Z,3,18,6
Jonny Lee,207,2006644,/wuliaokaola,expert,26577.0,2018-06-20T04:21:19.83Z,1,1,2
smileimg,208,1738657,/renhui111111,master,26522.0,2018-03-20T05:42:42.977Z,3,0,0
Camaro,209,1554318,/bamps53,master,26416.0,2018-01-16T02:54:02.247Z,2,5,1
ChienYiChi,210,263239,/ericji,master,26396.0,2014-11-25T05:13:40.537Z,2,2,4
chicm,211,697337,/idv2005,master,26380.0,2016-08-27T01:50:37.487Z,3,8,9
yu4u,212,745525,/ren4yu,master,26368.0,2016-10-09T17:05:59.6Z,2,6,2
Igor Krashenyi,213,207760,/igorkrashenyi,master,26331.0,2014-06-12T14:23:11.82Z,3,11,5
Serigne ,214,974295,/serigne,master,26246.0,2017-03-18T09:39:45.59Z,2,11,5
Alexander  Larko,215,808,/alexxanderlarko,grandmaster,26173.0,2010-05-14T04:13:00Z,13,28,33
Roman Vlasov,216,1188616,/romavlasov,master,26151.0,2017-07-27T14:42:18.987Z,2,3,0
Sogna,217,1183664,/songwonho,master,26101.0,2017-07-24T15:52:09.9Z,4,5,2
Takuya Akiyama,218,312139,/mtfall,master,26051.0,2015-03-16T09:56:00.223Z,2,10,1
To Train Them Is My Cause,219,829300,/rhgrossm,master,26014.0,2016-12-08T22:23:59.267Z,3,14,3
Konstantin Lopuhin,220,19390,/lopuhin,grandmaster,25985.0,2011-10-27T20:22:21.167Z,5,3,2
olivier,221,496907,/ogrellier,master,25965.0,2016-01-02T17:00:02.943Z,2,8,6
Miha Skalic,222,213812,/mihaskalic,master,25959.0,2014-07-05T07:11:57.397Z,5,5,1
Cedric Damien,223,1421155,/cedricdamien,expert,25868.0,2017-11-16T02:10:04.537Z,1,0,4
Ern,224,1197762,/erniechiew,master,25781.0,2017-08-02T15:16:06.02Z,3,9,1
Sandeep Attree,225,409812,/sattree,expert,25770.0,2015-09-01T05:03:49.227Z,2,0,1
nagiss,226,2144394,/nagiss,master,25655.0,2018-08-11T14:17:29.357Z,2,4,0
Lindada,227,717970,/a763337092,master,25466.0,2016-09-16T23:59:19.867Z,2,9,3
Mukharbek Organokov,228,1788308,/muhakabartay,expert,25441.0,2018-04-04T12:53:25.47Z,0,3,6
Eric Vos,229,833052,/a45632,expert,25420.0,2016-12-12T10:04:13.853Z,0,5,9
OsciiArt,230,998934,/osciiart,master,25396.0,2017-03-31T14:23:07.353Z,1,7,2
TeraFlops,231,546806,/sekrier,expert,25297.0,2016-03-03T16:54:39.823Z,0,6,11
Jeremy Ma,232,1221384,/junweima,master,25265.0,2017-08-18T14:08:54.137Z,3,0,0
Zoltan,233,1819947,/szabo7zoltan,master,25245.0,2018-04-14T03:59:17.78Z,1,3,2
Zidmie,234,278690,/zidmie,master,25196.0,2015-01-06T11:33:21.757Z,5,3,1
Morphy,235,281167,/murphy89,master,25135.0,2015-01-13T14:50:33.657Z,3,5,3
eagle4,236,389607,/chabir,master,25080.0,2015-07-22T17:43:47.123Z,1,6,6
Sugawarya,237,1248998,/sugawarya,master,24953.0,2017-09-05T08:54:28.543Z,3,8,3
Andres Torrubia,238,8507,/antorsae,master,24789.0,2011-04-05T15:02:36.01Z,2,7,2
Y.Nakama,239,1695531,/yasufuminakama,master,24767.0,2018-03-06T11:56:37.56Z,3,5,1
guang.ster,240,164834,/guangweiyu,master,24714.0,2014-02-11T05:43:58.46Z,4,1,1
Jhui He,241,2241982,/hesene,master,24651.0,2018-09-13T01:37:05.857Z,4,2,0
Nima Shahbazi,242,338701,/nimashahbazi,grandmaster,24574.0,2015-04-20T20:37:58.653Z,9,9,0
rishigami,243,1807118,/rishigami,master,24505.0,2018-04-10T13:24:33.3Z,1,5,1
jacobkie,244,632467,/jacobkie,master,24498.0,2016-06-04T12:00:19.003Z,4,4,1
Javu,245,3838005,/x2x21x21x21,expert,24441.0,2019-10-10T15:33:18.16Z,1,0,1
flowlight,246,145393,/flowlight,master,24389.0,2013-11-29T18:53:46.987Z,3,5,1
Olga Ivanova ,247,833757,/olgaiv39,expert,24336.0,2016-12-12T20:15:49.013Z,0,1,4
student,248,1969911,/liger1776,expert,24059.0,2018-06-06T03:19:47.443Z,0,2,4
m.y.,249,1324019,/futureboykid,master,23996.0,2017-10-10T07:25:28.95Z,1,2,0
Rinat,250,875482,/trytolose,master,23969.0,2017-01-20T00:21:59.697Z,2,3,0
Masoud Farivar,251,257777,/engenious,master,23876.0,2014-11-13T00:28:31.843Z,2,6,7
Daniel FG,252,221419,/danielfg,grandmaster,23816.0,2014-08-03T19:08:38.097Z,9,11,5
Chia-Ta Tsai,253,274477,/cttsai,expert,23808.0,2014-12-22T07:04:46.2Z,0,4,6
jleecook,254,966705,/jleecook,expert,23756.0,2017-03-14T15:20:24.533Z,1,1,2
mhiro2,255,390388,/mhiro2,master,23747.0,2015-07-24T07:35:26.37Z,3,5,2
Shize Su,256,163663,/sushize,grandmaster,23606.0,2014-02-06T20:13:15.337Z,17,20,7
Janos,257,327237,/janosk21,expert,23540.0,2015-04-07T05:33:06.927Z,0,8,21
bird,258,486077,/whitebird,grandmaster,23430.0,2015-12-12T17:03:36.31Z,5,9,0
currypurin,259,941167,/currypurin,master,23417.0,2017-03-04T07:25:00.903Z,3,3,5
MPWARE,260,698363,/mpware,master,23377.0,2016-08-28T16:21:25.937Z,2,7,1
narsil,261,494641,/narsil,master,23306.0,2015-12-28T15:39:52.377Z,3,8,0
e-toppo,262,1958238,/masatomatsui,master,23268.0,2018-06-01T05:36:30.85Z,2,5,3
SeshuRajuP,263,761268,/seshurajup,expert,23105.0,2016-10-21T09:00:45.923Z,0,4,1
Ren,264,161283,/ryanzhang,expert,23062.0,2014-02-01T12:42:54.467Z,0,14,5
liuzhangzhen,265,1029470,/liuzhangzhen,expert,23038.0,2017-04-18T11:04:55.657Z,0,2,3
Random_prediction,266,1737995,/rytisva88,master,23032.0,2018-03-20T00:50:12.273Z,1,5,1
Maksims Volkovs,267,49015,/mvolkovs,grandmaster,22927.0,2012-07-04T19:47:40.707Z,6,2,2
plantsgo,268,748899,/plantsgo,grandmaster,22876.0,2016-10-12T03:07:13.557Z,6,3,2
Branden Murray,269,150865,/brandenkmurray,grandmaster,22854.0,2013-12-21T22:24:25.577Z,7,16,5
Fumihiro Kaneko,270,3406049,/sai11fkaneko,expert,22853.0,2019-06-29T06:00:41.89Z,0,6,0
Zili Wang,271,1458583,/ziliwang,master,22831.0,2017-11-30T02:34:18.553Z,1,2,2
SiNpcw,272,2391815,/sinpcw,master,22816.0,2018-10-22T12:27:47.1Z,2,3,1
JL,273,2955317,/jilian,master,22786.0,2019-03-18T05:13:18.92Z,3,2,0
🐢 Jun Koda,274,954117,/junkoda,expert,22714.0,2017-03-09T13:29:34.647Z,2,0,0
CHAN,275,1025991,/currylc,master,22660.0,2017-04-16T11:55:49.66Z,4,0,1
